date,group_id,observer_id,focal_type,focal_id,time_of_arrival,focal_start_time,visibility,focal_activity_start_time,activity,species_of_tree,what_part_being_eaten,part_of_fruit_eaten,seed_eating_activity,tree_number,tree_canopy_height,feeding_start_time,feeding_end_time,start_time_feeding_rate,end_time_feeding_rate,amount_eaten,comments
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:22:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:26:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:33:00Z,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papung
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:39:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:43:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Defekasi di pohon Lewang (Sampel tidak dikoleksi), cuaca berubah menjadii mendung dan berangin"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:45:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:47:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Papung, cuaca berangin"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:49:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sawit terlihat lompat keluar dari pohon Papung dan berjalan secara perlahan
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:59:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Ewit memeluk Sawit di Pohon Hangkang
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T11:22:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T11:36:00Z,F,Lunuk  kecil,fr/M,sem,telan semua,NA,atas,2025-01-02T11:36:00Z,2025-01-02T12:15:00Z,NA,NA,NA,"Sawit makan buah Lunuk kecil di pohon Tutup kabali, Sulit melakukan feeding rate dikarenakan terhalang kanopi dan dahan, Cuaca cerah berawan teta[I sedikit terdapat angin"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T12:15:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T12:45:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Lewang
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T12:47:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T12:55:00Z,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MHDK
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T12:57:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T13:05:00Z,F,Kamuning,yl,NA,NA,NA,atas,2025-01-02T13:05:00Z,2025-01-02T13:09:00Z,NA,NA,NA,Sawit makan daun muda Kamuning dengan posisi mengantung di Akar kamunda
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T13:09:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T13:16:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Pakan
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T13:17:00Z,F,Pakan,fl,NA,NA,NA,atas,2025-01-02T13:17:00Z,2025-01-02T13:26:00Z,NA,NA,NA,"Sulit mengambil feeding rate karena tertutup tajuk dari percabangan pohon Pakan, cuaca berubah dari berawan menjadi gerimis"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,0,2025-01-02T13:26:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T13:27:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Sawit dan Ewit masuk kedalam pohon Tarantang, posisi keduanya sudah saling memeluk, cuaca berhenti hujan dan berubah mendung sedikit berangin"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T14:30:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Pohon tidur sore sawit tarantang C/220
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T05:00:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Jumpa Ewit di pohon Terantang, Terlihat Ewit bermain disekitar dahan dan sesekali beristirahat dipohon yang sama dengan Sawit, Cuaca berawan"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T05:18:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T06:25:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Lewang
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T06:28:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T06:37:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Ewit terlihat mengelilingi lalas dan memetik daun muda Akar pisang pisang tetapi tidak dimakan
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T06:39:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T06:48:00Z,F,Lunuk kecil,fr/M,sem,telan semua,NA,atas,2025-01-03T06:47:59Z,2025-01-03T06:58:00Z,2025-01-03T06:53:00Z,2025-01-03T06:54:00Z,17,"Ewit makan Lunuk kecil dipohon Lalas dengan memetik satu persatu buah kemudian, dimasukan kedalam mulut"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T06:58:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:00:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Lalas
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,1,2025-01-03T07:08:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T07:07:59Z,2025-01-03T07:14:59Z,NA,NA,NA,Sulit melihat keberadaan Ewit yang sedang makan Akar kuku elang
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:15:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:24:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T07:23:59Z,2025-01-03T07:25:59Z,NA,NA,NA,"Hangkang, sulit mengambil feeding rate tertutup tajuk sekitarnya"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:26:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ewit sesekali mengeluarkan suara kecil
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:30:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Papung
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:32:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewit seperti mengikuti pergerakan Sawit dan Ewat, setelah itu bertemu sekelompok Kelasi. Kelompok kelasi berjalan menjauh dari kelompok Pribon"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:55:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Papung
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T07:57:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T07:57:00Z,2025-01-03T08:06:00Z,2025-01-03T07:57:00Z,2025-01-03T07:58:00Z,5,Ewit makan Akar kuku elang di Papung
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T08:06:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T08:11:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T08:10:59Z,2025-01-03T08:12:59Z,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T08:13:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Jangkar, pindah pohon sekitarnya"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T08:15:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T08:15:00Z,2025-01-03T08:17:59Z,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T08:18:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,1,2025-01-03T08:20:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T08:19:59Z,2025-01-03T08:33:59Z,NA,NA,NA,Sulit mengambil feeding rate tertutup tajuk Tutup kabali
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T08:34:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,0,2025-01-03T08:45:00Z,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keberadaan Ewit tidak diketahui peneliti, kemungkinan tertutup tajuk pepohonan"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:05:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:15:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:18:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,1,2025-01-03T09:24:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T09:24:00Z,2025-01-03T09:27:00Z,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:27:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:30:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Meranti, Ewit menggaruk badan dan tangannya (Self grooming)"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:36:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ewit mengikuti pergerakan Rawit
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:43:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Urinasi dan Defekasi di pohon Lalas
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:45:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T09:52:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T09:51:59Z,2025-01-03T10:07:59Z,NA,NA,NA,Sulit mengambil feeding rate tertutup akar disekitarnya
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:08:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:12:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Kamehas daun perak, terlihat Ewit bermain sendiri bergantung di cabang dan setelah itu kembali duduk"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:17:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:20:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Defekasi di pohon MHDB, jalan secara perlahan"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:30:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:35:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Bengaris, Ewit mencoba memakan daun muda Bengaris tetapi hanya sekali (try feeding)"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:37:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Berjalan secara perlahan ke pohon - pohon sekitarnya
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T10:58:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Mipa, Ewit beristirahat dengan posisi duduk bersama Sawit"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,1,2025-01-03T11:05:00Z,F,Akar kuku elang,fr/M,dg+kul,telan semua,NA,atas,2025-01-03T11:05:00Z,2025-01-03T11:12:59Z,NA,NA,NA,"Ewit makan bersama Sawit di pohon Kamehas daun perak, Ewit sesekali bersuara seperti menjerit"
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T11:13:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03,Pribon,"Tasya, Yayan",FN,Ewit,2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,2,2025-01-03T11:19:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Hangkang
